epoch,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.1674406260751081,0.9513556618819776,0.1139181623290671,0.9678217821782178,0.9846153846153847,0.9504950495049505,0.9672544080604534
2,0.08644157720027627,0.9710260499734183,0.08978130814093764,0.969059405940594,0.9922077922077922,0.9455445544554455,0.9683143219264893
3,0.04056009501025699,0.9843168527379054,0.03001129411917069,0.9900990099009901,0.9925373134328358,0.9876237623762376,0.9900744416873449
4,0.028516421091070936,0.9893673577884105,0.024271984561576997,0.9900990099009901,0.9925373134328358,0.9876237623762376,0.9900744416873449
5,0.023422058633093438,0.9920255183413078,0.018545345262633545,0.9938118811881188,0.9950372208436724,0.9925742574257426,0.9938042131350682
6,0.02544839048733022,0.9906964380648591,0.019675738201246108,0.9913366336633663,0.9950124688279302,0.9876237623762376,0.991304347826087
7,0.02140641396233722,0.9920255183413078,0.02832941133021792,0.9913366336633663,0.9877149877149877,0.995049504950495,0.9913686806411838
8,0.017976973822199507,0.9933545986177565,0.02631643324441191,0.9876237623762376,1.0,0.9752475247524752,0.9874686716791979
9,0.017702158070184243,0.9954811270600744,0.026067018311811924,0.9876237623762376,0.9949748743718593,0.9801980198019802,0.9875311720698254
10,0.02362300246616787,0.9922913343965976,0.025380600490469005,0.9900990099009901,0.9852941176470589,0.995049504950495,0.9901477832512315
11,0.01311610351628062,0.9954811270600744,0.015862932345440315,0.995049504950495,0.9975124378109452,0.9925742574257426,0.9950372208436724
12,0.011911061636589622,0.9965443912812334,0.012898394397672007,0.9938118811881188,0.9925925925925926,0.995049504950495,0.9938195302843016
13,0.015661428892468326,0.9952153110047847,0.014139453516258756,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
14,0.011937184105777012,0.9960127591706539,0.013870331919798166,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
15,0.01216000535374741,0.9954811270600744,0.022066151844291476,0.9900990099009901,1.0,0.9801980198019802,0.99
16,0.011478654110597116,0.9954811270600744,0.020776049794149723,0.9925742574257426,0.9975,0.9876237623762376,0.9925373134328358
17,0.013641403487622085,0.9957469431153642,0.016842763414514243,0.9938118811881188,0.9975062344139651,0.9900990099009901,0.9937888198757764
18,0.00953589392821505,0.9978734715576821,0.014179886902836935,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
19,0.009352953518814607,0.9968102073365231,0.01257529389804764,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
20,0.01164832305898276,0.9960127591706539,0.012970969868745507,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
21,0.009693343410811078,0.9976076555023924,0.012440446940006337,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
22,0.00930026726598432,0.9968102073365231,0.01270898791735457,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
23,0.009430185380227891,0.9965443912812334,0.012818725911052068,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
24,0.010942522097717632,0.9970760233918129,0.011578382490235057,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
25,0.011242207363401358,0.9960127591706539,0.014841028848792067,0.9938118811881188,0.9925925925925926,0.995049504950495,0.9938195302843016
26,0.010001866872521916,0.9970760233918129,0.013593286606667582,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
27,0.009778441427112644,0.9973418394471026,0.014547172649694367,0.995049504950495,0.9975124378109452,0.9925742574257426,0.9950372208436724
28,0.009921061054353862,0.9960127591706539,0.01137945651293428,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
29,0.010231783666200134,0.9965443912812334,0.01195547378409912,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
30,0.009154490380575668,0.9970760233918129,0.01361319949241853,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
31,0.00974752954493912,0.9965443912812334,0.01133011762020501,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
32,0.009104492566697443,0.9970760233918129,0.013000526754784924,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
33,0.011180070524771362,0.9970760233918129,0.012011063816533009,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
34,0.010544218211941661,0.9965443912812334,0.02065747971404436,0.9900990099009901,0.9974874371859297,0.9826732673267327,0.9900249376558603
35,0.009982152162060332,0.9962785752259437,0.012642812668484184,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
36,0.00840821586902551,0.9981392876129718,0.013301744466961021,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
37,0.008631837713333606,0.9973418394471026,0.011896619545572465,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
38,0.007797674012344661,0.9978734715576821,0.012787777832524832,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
39,0.007717565049918379,0.9984051036682615,0.012364195763493086,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495
40,0.00800354813858332,0.9973418394471026,0.01447965377609771,0.995049504950495,0.9975124378109452,0.9925742574257426,0.9950372208436724
41,0.008402607852646538,0.9976076555023924,0.011987806482835314,0.9962871287128713,0.9975186104218362,0.995049504950495,0.9962825278810409
,,,0.006100109588161185,0.9987623762376238,0.9975308641975309,1.0,0.9987639060568603
